design,outcome,estimator,event_time,att,se,conf_low,conf_high
25 km radius,Any STEM birth (pp),BJS + cohort linear trends,-60,11.934321868454091,3.1017421293696383,5.854907294889601,18.013736442018583
25 km radius,Any STEM birth (pp),BJS + cohort linear trends,-50,8.925262334372986,2.6249872783321617,3.780287268841949,14.070237399904023
25 km radius,Any STEM birth (pp),BJS + cohort linear trends,-40,11.358663973717244,2.72651363937839,6.014697240535599,16.702630706898887
25 km radius,Any STEM birth (pp),BJS + cohort linear trends,-30,9.448941751495022,2.452114207180677,4.642797905420895,14.255085597569149
25 km radius,Any STEM birth (pp),BJS + cohort linear trends,-20,16.393386195939478,2.7764634095285,10.951517913263618,21.835254478615337
25 km radius,Any STEM birth (pp),BJS + cohort linear trends,-10,18.171163973717253,2.852156370938125,12.580937486678527,23.761390460755976
25 km radius,Any STEM birth (pp),BJS + cohort linear trends,0,21.92412756293382,2.8921105108007428,16.255590961764362,27.592664164103276
25 km radius,Any STEM birth (pp),BJS + cohort linear trends,10,25.035238674044933,3.0524383605182033,19.052459487429253,31.018017860660613
25 km radius,Any STEM birth (pp),BJS + cohort linear trends,20,27.257460896267155,3.0053560115417013,21.36696311364542,33.14795867888889
25 km radius,Any STEM birth (pp),BJS + cohort linear trends,30,32.14634978515604,3.0613309987125765,26.14614102767939,38.14655854263269
25 km radius,Any STEM birth (pp),BJS + cohort linear trends,40,32.14634978515604,3.0571126919290688,26.154408908975064,38.13829066133702
25 km radius,Any STEM birth (pp),BJS + cohort linear trends,50,36.59079422960049,3.070254528980538,30.573095352798635,42.60849310640234
25 km radius,Any STEM birth (pp),BJS + cohort linear trends,60,29.035238674044933,2.98981460794893,23.17520204246503,34.895275305624835
25 km radius,Any STEM birth (pp),BJS imputation,-60,6.800267757965065,2.63519778172011,1.6352801057936492,11.96525541013648
25 km radius,Any STEM birth (pp),BJS imputation,-50,5.458990244583571,2.8235573920596475,-0.07518224385333827,10.99316273302048
25 km radius,Any STEM birth (pp),BJS imputation,-40,7.122219009118247,3.0614464337534852,1.1217839989614156,13.122654019275078
25 km radius,Any STEM birth (pp),BJS imputation,-30,3.807461869733736,2.7033119487750192,-1.4910295498653015,9.105953289332774
25 km radius,Any STEM birth (pp),BJS imputation,-20,9.049003680114954,3.230242089335144,2.7177291850180723,15.380278175211835
25 km radius,Any STEM birth (pp),BJS imputation,-10,9.99314733041909,3.3437361159144,3.439424543226866,16.546870117611313
25 km radius,Any STEM birth (pp),BJS imputation,0,6.720210768409799,2.3650605705009204,2.0846920502279946,11.355729486591603
25 km radius,Any STEM birth (pp),BJS imputation,10,8.849149045059585,2.7498485820115715,3.459445824316905,14.238852265802265
25 km radius,Any STEM birth (pp),BJS imputation,20,9.974062918336358,2.8468008678140486,4.394333217420823,15.553792619251894
25 km radius,Any STEM birth (pp),BJS imputation,30,14.258348083916026,2.8863308781490686,8.601139562743851,19.9155566050882
25 km radius,Any STEM birth (pp),BJS imputation,40,13.804642001791123,2.811604026132507,8.29389811057141,19.315385893010834
25 km radius,Any STEM birth (pp),BJS imputation,50,18.36509704578891,2.8834593411813136,12.713516737073537,24.016677354504285
25 km radius,Any STEM birth (pp),BJS imputation,60,11.353046000854622,2.9383220126097487,5.593934856139515,17.11215714556973
25 km radius,Any STEM birth (pp),Callaway-Sant'Anna DR,-60,-3.9151952310784583,3.6651715493419355,-11.098931467788653,3.268541005631735
25 km radius,Any STEM birth (pp),Callaway-Sant'Anna DR,-50,-5.845586580995704,3.524974917477112,-12.754537419250843,1.063364257259435
25 km radius,Any STEM birth (pp),Callaway-Sant'Anna DR,-40,-3.7446563002266253,3.259056102587998,-10.132406261299101,2.64309366084585
25 km radius,Any STEM birth (pp),Callaway-Sant'Anna DR,-30,-6.418722293126882,2.530347189904357,-11.378202785339422,-1.4592418009143424
25 km radius,Any STEM birth (pp),Callaway-Sant'Anna DR,-20,-0.9059598979046624,2.730983736245187,-6.258688020945229,4.446768225135905
25 km radius,Any STEM birth (pp),Callaway-Sant'Anna DR,-10,0,0,0,0
25 km radius,Any STEM birth (pp),Callaway-Sant'Anna DR,0,2.7986711285609167,2.7081250212729917,-2.5092539131341467,8.10659617025598
25 km radius,Any STEM birth (pp),Callaway-Sant'Anna DR,10,4.912499977685653,3.274935250068969,-1.506373112449526,11.33137306782083
25 km radius,Any STEM birth (pp),Callaway-Sant'Anna DR,20,6.05762727834567,3.0779361316410467,0.024872460329218526,12.090382096362122
25 km radius,Any STEM birth (pp),Callaway-Sant'Anna DR,30,10.331455717237281,3.241949682307174,3.9772343399152206,16.685677094559342
25 km radius,Any STEM birth (pp),Callaway-Sant'Anna DR,40,9.87987611905383,3.2672408585951285,3.4760840362073777,16.28366820190028
25 km radius,Any STEM birth (pp),Callaway-Sant'Anna DR,50,14.435128251493616,3.118880135723151,8.32212318547624,20.54813331751099
25 km radius,Any STEM birth (pp),Callaway-Sant'Anna DR,60,7.433120806279976,3.1093440604160847,1.3388064478644504,13.5274351646955
25 km radius,Any STEM birth (pp),Wooldridge ETWFE,-60,15.401943542519211,2.5738863024797047,10.35712638965899,20.44676069537943
25 km radius,Any STEM birth (pp),Wooldridge ETWFE,-50,11.87559882427796,2.3519457356290197,7.265785182445081,16.485412466110837
25 km radius,Any STEM birth (pp),Wooldridge ETWFE,-40,13.571269663167213,2.29770461634282,9.067768615135286,18.07477071119914
25 km radius,Any STEM birth (pp),Wooldridge ETWFE,-30,11.141252343911528,2.1705389558884485,6.88699599037017,15.395508697452886
25 km radius,Any STEM birth (pp),Wooldridge ETWFE,-20,17.23519730504672,2.1281397971902596,13.064043302553813,21.40635130753963
25 km radius,Any STEM birth (pp),Wooldridge ETWFE,-10,18.140161518312144,2.128140020133617,13.969007078850254,22.311315957774035
25 km radius,Any STEM birth (pp),Wooldridge ETWFE,0,21.013357828644246,2.1281399444567044,16.842203537509107,25.184512119779384
25 km radius,Any STEM birth (pp),Wooldridge ETWFE,10,23.139128104603426,2.1281402946783223,18.967973127033915,27.310283082172937
25 km radius,Any STEM birth (pp),Wooldridge ETWFE,20,24.263329122708107,2.128140301064683,20.09217413262133,28.434484112794884
25 km radius,Any STEM birth (pp),Wooldridge ETWFE,30,28.555593829714,2.128140351783149,24.384438740219025,32.72674891920897
25 km radius,Any STEM birth (pp),Wooldridge ETWFE,40,28.07011903352584,2.1281403993313477,23.898963850836402,32.24127421621528
25 km radius,Any STEM birth (pp),Wooldridge ETWFE,50,32.63535805828388,2.1281402007712815,28.464203264772166,36.80651285179559
25 km radius,Any STEM birth (pp),Wooldridge ETWFE,60,25.618249320201492,2.1281401149454373,21.447094694908436,29.78940394549455
25 km radius,STEM births (count),BJS + cohort linear trends,-60,0.2188104712239569,0.06652887214312375,0.08841388182343435,0.3492070606244794
25 km radius,STEM births (count),BJS + cohort linear trends,-50,0.25497670648423865,0.08201793568364914,0.09422155254428635,0.41573186042419097
25 km radius,STEM births (count),BJS + cohort linear trends,-40,0.3068038922765884,0.10124748159085738,0.10835882835850794,0.5052489561946688
25 km radius,STEM births (count),BJS + cohort linear trends,-30,0.3189566700543661,0.1054093701475765,0.11235430456511619,0.525559035543616
25 km radius,STEM births (count),BJS + cohort linear trends,-20,0.6361788922765886,0.16711693938007474,0.3086296910916421,0.9637280934615351
25 km radius,STEM births (count),BJS + cohort linear trends,-10,0.7117344478321442,0.19236114129128967,0.3347066109012165,1.088762284763072
25 km radius,STEM births (count),BJS + cohort linear trends,0,0.8902284916141552,0.20948021019945606,0.4796472796232213,1.300809703605089
25 km radius,STEM births (count),BJS + cohort linear trends,10,1.1035618249474886,0.3007790078622939,0.5140349695373926,1.6930886803575844
25 km radius,STEM births (count),BJS + cohort linear trends,20,1.4724507138363774,0.32293343910949096,0.8395011731817751,2.10540025449098
25 km radius,STEM births (count),BJS + cohort linear trends,30,1.8413396027252662,0.4525768685967707,0.9542889402755956,2.7283902651749368
25 km radius,STEM births (count),BJS + cohort linear trends,40,2.356895158280822,0.6449356254599407,1.0928213323793383,3.620968984182306
25 km radius,STEM births (count),BJS + cohort linear trends,50,3.1835618249474886,1.1118210543585754,1.004392558404681,5.362731091490296
25 km radius,STEM births (count),BJS + cohort linear trends,60,2.6013396027252664,0.9247113884960346,0.7889052812730386,4.4137739241774945
25 km radius,STEM births (count),BJS imputation,-60,0.007881307959640704,0.06897673856978831,-0.12731309963714438,0.1430757155564258
25 km radius,STEM births (count),BJS imputation,-50,0.1300333310093686,0.06577649835368904,0.001111394236138069,0.25895526778259914
25 km radius,STEM births (count),BJS imputation,-40,0.18450448781866677,0.07717486443574965,0.03324175352459746,0.3357672221127361
25 km radius,STEM births (count),BJS imputation,-30,0.1850396311097795,0.08204281297075537,0.02423571768709898,0.34584354453246
25 km radius,STEM births (count),BJS imputation,-20,0.4973127347181771,0.1380229254187597,0.22678780089740808,0.7678376685389461
25 km radius,STEM births (count),BJS imputation,-10,0.5624918205209155,0.17605536287026632,0.21742330929519355,0.9075603317466374
25 km radius,STEM births (count),BJS imputation,0,0.4725041524143644,0.14728586445510652,0.18382385808235563,0.7611844467463731
25 km radius,STEM births (count),BJS imputation,10,0.6699842394788192,0.26265724448390765,0.15517604029036025,1.1847924386672783
25 km radius,STEM births (count),BJS imputation,20,1.0215865082124256,0.27313623657476854,0.4862394845258793,1.5569335318989719
25 km radius,STEM births (count),BJS imputation,30,1.3791122590857932,0.4010149006763137,0.5931230537602183,2.165101464411368
25 km radius,STEM births (count),BJS imputation,40,1.8843586977668132,0.5829773679891386,0.7417230565081017,3.0269943390255247
25 km radius,STEM births (count),BJS imputation,50,2.710378776437406,1.0474684670446173,0.6573405810299562,4.763416971844856
25 km radius,STEM births (count),BJS imputation,60,2.1345102411157564,0.858997079805242,0.45087596469748203,3.818144517534031
25 km radius,STEM births (count),Callaway-Sant'Anna DR,-60,-0.623932034949945,0.2806609116665108,-1.174027421816306,-0.07383664808358381
25 km radius,STEM births (count),Callaway-Sant'Anna DR,-50,-0.4560772024331454,0.24291738274195895,-0.932195272607385,0.020040867741094093
25 km radius,STEM births (count),Callaway-Sant'Anna DR,-40,-0.388160631718343,0.16161151915471503,-0.7049192092615844,-0.07140205417510154
25 km radius,STEM births (count),Callaway-Sant'Anna DR,-30,-0.36974364137064825,0.14402060411456633,-0.6520240254351982,-0.08746325730609827
25 km radius,STEM births (count),Callaway-Sant'Anna DR,-20,-0.06159563252950659,0.08704861117950896,-0.23221091044134415,0.10901964538233097
25 km radius,STEM births (count),Callaway-Sant'Anna DR,-10,0,0,0,0
25 km radius,STEM births (count),Callaway-Sant'Anna DR,0,0.16792115180266018,0.13000827431249187,-0.0868950658498239,0.4227373694551443
25 km radius,STEM births (count),Callaway-Sant'Anna DR,10,0.36337935435183444,0.3319951752058487,-0.287331189051629,1.014089897755298
