design,outcome,event_time,treated_mean,control_mean,raw_diff,treated_obs,mean_control_n
County of school,STEM births (count),-60,0.7894736842105263,0.0590144663761558,0.7304592178343705,57,3133
County of school,STEM births (count),-50,1.0615384615384615,0.06983077270645056,0.991707688832011,65,3129.7076923076925
County of school,STEM births (count),-40,0.9117647058823529,0.0822655964485536,0.8294991094337993,68,3125.205882352941
County of school,STEM births (count),-30,1.1095890410958904,0.09103102545941656,1.0185580156364737,73,3120.3424657534247
County of school,STEM births (count),-20,1.5733333333333333,0.10762258017678769,1.4657107531565456,75,3113.693333333333
County of school,STEM births (count),-10,2,0.12161517623664675,1.8783848237633531,75,3106.92
County of school,STEM births (count),0,3.493333333333333,0.13927621049147496,3.354057122841858,75,3098.08
County of school,STEM births (count),10,5.8933333333333335,0.1559683398315796,5.737364993501754,75,3091.306666666667
County of school,STEM births (count),20,5.68,0.17900497387341283,5.500995026126587,75,3084.133333333333
County of school,STEM births (count),30,7.493333333333333,0.1907263263348641,7.302607006998469,75,3078.4133333333334
County of school,STEM births (count),40,5.986666666666666,0.19820562075320247,5.788461045913464,75,3073.92
County of school,STEM births (count),50,5.16,0.1920906336121727,4.967909366387827,75,3070.32
County of school,STEM births (count),60,4.08,0.17970412314708856,3.9002958768529115,75,3068.0533333333333
County of school,Any STEM birth (pp),-60,24.56140350877193,3.5645820296802833,20.996821479091647,57,3133
County of school,Any STEM birth (pp),-50,24.615384615384617,4.242418277917957,20.37296633746666,65,3129.7076923076925
County of school,Any STEM birth (pp),-40,30.88235294117647,5.030523802513261,25.85182913866321,68,3125.205882352941
County of school,Any STEM birth (pp),-30,31.506849315068493,5.645238689780499,25.861610625287994,73,3120.3424657534247
County of school,Any STEM birth (pp),-20,40,6.671312822819819,33.32868717718018,75,3113.693333333333
County of school,Any STEM birth (pp),-10,41.333333333333336,7.596649651266244,33.736683682067095,75,3106.92
County of school,Any STEM birth (pp),0,56,8.649690981729517,47.35030901827048,75,3098.08
County of school,Any STEM birth (pp),10,50.666666666666664,9.508326088187847,41.158340578478814,75,3091.306666666667
County of school,Any STEM birth (pp),20,61.333333333333336,10.579104194426563,50.75422913890677,75,3084.133333333333
County of school,Any STEM birth (pp),30,68,11.050749885553438,56.94925011444656,75,3078.4133333333334
County of school,Any STEM birth (pp),40,66.66666666666667,11.11931331693164,55.54735334973503,75,3073.92
County of school,Any STEM birth (pp),50,77.33333333333333,10.642331970934734,66.6910013623986,75,3070.32
County of school,Any STEM birth (pp),60,60,9.907149168762697,50.0928508312373,75,3068.0533333333333
County of school,STEM share zero-filled (pp),-60,15.041279669762641,2.8096059624174985,12.231673707345143,57,3133
County of school,STEM share zero-filled (pp),-50,17.684921635741308,3.361450751719358,14.32347088402195,65,3129.7076923076925
County of school,STEM share zero-filled (pp),-40,18.567582770813242,4.082430299185262,14.48515247162798,68,3125.205882352941
County of school,STEM share zero-filled (pp),-30,22.579411146859485,4.574502889995255,18.00490825686423,73,3120.3424657534247
County of school,STEM share zero-filled (pp),-20,26.923106172978297,5.496833192761191,21.426272980217107,75,3113.693333333333
County of school,STEM share zero-filled (pp),-10,24.956729871435755,6.267835727082536,18.68889414435322,75,3106.92
County of school,STEM share zero-filled (pp),0,39.895806058993735,7.137799017973404,32.75800704102033,75,3098.08
County of school,STEM share zero-filled (pp),10,29.11735974183948,7.856127430780942,21.261232311058535,75,3091.306666666667
County of school,STEM share zero-filled (pp),20,39.50375616892471,8.60996648666393,30.89378968226078,75,3084.133333333333
County of school,STEM share zero-filled (pp),30,38.63083296720638,8.977789435307045,29.653043531899336,75,3078.4133333333334
County of school,STEM share zero-filled (pp),40,38.54611417852647,8.88125784637213,29.664856332154343,75,3073.92
County of school,STEM share zero-filled (pp),50,45.92714075868776,8.497319554673046,37.429821204014715,75,3070.32
County of school,STEM share zero-filled (pp),60,30.31738892737331,7.851009777794888,22.466379149578422,75,3068.0533333333333
25 km radius,STEM births (count),-60,0.3026315789473684,0.051137377402581355,0.2514942015447871,152,3103.815789473684
25 km radius,STEM births (count),-50,0.33879781420765026,0.059143856041826315,0.27965395816582395,183,3093.4043715846997
25 km radius,STEM births (count),-40,0.390625,0.06953595367222923,0.3210890463277708,192,3079.6979166666665
25 km radius,STEM births (count),-30,0.4027777777777778,0.07418284993474926,0.3285949278430285,216,3067.060185185185
25 km radius,STEM births (count),-20,0.72,0.08399563284174867,0.6360043671582513,225,3048.213333333333
25 km radius,STEM births (count),-10,0.7955555555555556,0.09258723892718575,0.7029683166283698,225,3028.6444444444446
25 km radius,STEM births (count),0,0.9822222222222222,0.1060749889412492,0.876147233280973,225,3002.3555555555554
25 km radius,STEM births (count),10,1.1955555555555555,0.11875768370599972,1.0767978718495557,225,2982.786666666667
25 km radius,STEM births (count),20,1.5644444444444445,0.13372939541955217,1.4307150490248923,225,2961.5022222222224
25 km radius,STEM births (count),30,1.9333333333333333,0.14312829610127695,1.7902050372320564,225,2944.217777777778
25 km radius,STEM births (count),40,2.448888888888889,0.15149794452650975,2.297390944362379,225,2931.137777777778
25 km radius,STEM births (count),50,3.2755555555555556,0.15120476935058583,3.1243507862049698,225,2919.337777777778
25 km radius,STEM births (count),60,2.6933333333333334,0.14430325967019314,2.54903007366314,225,2912.4933333333333
25 km radius,Any STEM birth (pp),-60,17.763157894736842,3.1154786595280948,14.647679235208749,152,3103.815789473684
25 km radius,Any STEM birth (pp),-50,14.754098360655737,3.6429955309507918,11.111102829704945,183,3093.4043715846997
25 km radius,Any STEM birth (pp),-40,17.1875,4.34339554284085,12.844104457159151,192,3079.6979166666665
25 km radius,Any STEM birth (pp),-30,15.277777777777779,4.78430731441386,10.493470463363918,216,3067.060185185185
25 km radius,Any STEM birth (pp),-20,22.22222222222222,5.604151953026076,16.618070269196146,225,3048.213333333333
25 km radius,Any STEM birth (pp),-10,24,6.35655112942016,17.64344887057984,225,3028.6444444444446
25 km radius,Any STEM birth (pp),0,28,7.423877776693102,20.576122223306896,225,3002.3555555555554
25 km radius,Any STEM birth (pp),10,31.11111111111111,8.305227889632992,22.80588322147812,225,2982.786666666667
25 km radius,Any STEM birth (pp),20,33.333333333333336,9.326473091483289,24.00686024185005,225,2961.5022222222224
25 km radius,Any STEM birth (pp),30,38.22222222222222,9.866745894226,28.35547632799622,225,2944.217777777778
25 km radius,Any STEM birth (pp),40,38.22222222222222,10.257892674807188,27.964329547415034,225,2931.137777777778
25 km radius,Any STEM birth (pp),50,42.666666666666664,10.106538510330303,32.56012815633636,225,2919.337777777778
25 km radius,Any STEM birth (pp),60,35.111111111111114,9.538606773921078,25.572504337190036,225,2912.4933333333333
25 km radius,STEM share zero-filled (pp),-60,11.841239900450427,2.451784249491925,9.389455650958503,152,3103.815789473684
25 km radius,STEM share zero-filled (pp),-50,10.935900771966345,2.8718372588404835,8.064063513125863,183,3093.4043715846997
25 km radius,STEM share zero-filled (pp),-40,11.542247580850521,3.520071419346759,8.022176161503761,192,3079.6979166666665
25 km radius,STEM share zero-filled (pp),-30,9.666832010582011,3.8677866690104095,5.799045341571602,216,3067.060185185185
25 km radius,STEM share zero-filled (pp),-20,16.31734260655829,4.622635426160792,11.6947071803975,225,3048.213333333333
25 km radius,STEM share zero-filled (pp),-10,14.919071705211936,5.276207902426494,9.642863802785442,225,3028.6444444444446
25 km radius,STEM share zero-filled (pp),0,19.416065681544417,6.18223510487683,13.233830576667586,225,3002.3555555555554
25 km radius,STEM share zero-filled (pp),10,21.356369767720107,6.971783062319999,14.384586705400107,225,2982.786666666667
25 km radius,STEM share zero-filled (pp),20,23.294437676046535,7.7251915008824446,15.56924617516409,225,2961.5022222222224
25 km radius,STEM share zero-filled (pp),30,24.656620825872697,8.170598643729566,16.48602218214313,225,2944.217777777778
25 km radius,STEM share zero-filled (pp),40,24.383296390734415,8.376338887202293,16.00695750353212,225,2931.137777777778
25 km radius,STEM share zero-filled (pp),50,27.034659503746013,8.247794982738139,18.786864521007875,225,2919.337777777778
25 km radius,STEM share zero-filled (pp),60,20.694204613834078,7.719966936294412,12.974237677539666,225,2912.4933333333333
