design,outcome,estimator,lead_m60,lead_m40,lead_m20,post_0,post_avg_0_60
25 km radius,Any STEM birth (pp),BJS + cohort linear trends,11.934321868454091,11.358663973717244,16.393386195939478,21.92412756293382,29.16222280102906
25 km radius,Any STEM birth (pp),BJS imputation,6.800267757965065,7.122219009118247,9.049003680114954,6.720210768409799,11.903507980593774
25 km radius,Any STEM birth (pp),Callaway-Sant'Anna DR,-3.9151952310784583,-3.7446563002266253,-0.9059598979046624,2.7986711285609167,7.978339896950992
25 km radius,Any STEM birth (pp),Wooldridge ETWFE,15.401943542519211,13.571269663167213,17.23519730504672,21.013357828644246,26.18501932824014
25 km radius,STEM births (count),BJS + cohort linear trends,0.2188104712239569,0.3068038922765884,0.6361788922765886,0.8902284916141552,1.9213396027252663
25 km radius,STEM births (count),BJS imputation,0.007881307959640704,0.18450448781866677,0.4973127347181771,0.4725041524143644,1.4674906963587682
25 km radius,STEM births (count),Callaway-Sant'Anna DR,-0.623932034949945,-0.388160631718343,-0.06159563252950659,0.16792115180266018,1.1619803932209456
25 km radius,STEM births (count),Wooldridge ETWFE,0.2723158438324065,0.34360647029232044,0.6553909748274089,0.8908271136875521,1.884930859674824
25 km radius,STEM share zero-filled (pp),BJS + cohort linear trends,7.033869088801037,6.73487676920113,11.509971794908905,14.458384832505821,18.018841216604013
25 km radius,STEM share zero-filled (pp),BJS imputation,4.1929740151422346,3.982220556460159,5.8230060910759764,4.093713441512438,6.074301856703892
25 km radius,STEM share zero-filled (pp),Callaway-Sant'Anna DR,-0.3866411844178288,-0.7887274379141385,2.133378256756596,3.518922554424699,5.498791474550231
25 km radius,STEM share zero-filled (pp),Wooldridge ETWFE,9.885485153566105,8.49208004046152,12.078463384217525,13.486790776953717,15.467304557003313
County of school,Any STEM birth (pp),BJS + cohort linear trends,18.118539944971,24.439489377375544,33.55713643619907,49.390211599470234,56.24735445661309
County of school,Any STEM birth (pp),BJS imputation,8.112712990366674,17.067429247411038,24.810174135270746,24.234565653191353,29.39639189855837
County of school,Any STEM birth (pp),Callaway-Sant'Anna DR,-17.221764463781984,-8.488930050886893,-0.3327087447749982,13.519898717512838,18.661916572262772
County of school,Any STEM birth (pp),Wooldridge ETWFE,21.424114936716226,26.284425679133882,33.72963567176149,47.668080478730424,52.81131049504646
County of school,STEM births (count),BJS + cohort linear trends,0.6830277208807578,0.8053187425525845,1.466887370003565,3.3794792661266313,5.284241170888536
County of school,STEM births (count),BJS imputation,0.6773934607263432,1.0127343394743655,1.679959129579381,2.4802919541022703,4.34199433815578
County of school,STEM births (count),Callaway-Sant'Anna DR,-1.5782906439398072,-1.124333287009746,-0.40955276607520535,1.4714141051322502,3.331478001861174
County of school,STEM births (count),Wooldridge ETWFE,0.743762342230131,0.8453795221197433,1.4834714518776313,3.370375203917469,5.231356793292168
County of school,STEM share zero-filled (pp),BJS + cohort linear trends,9.818744849757266,13.34504795080787,21.70057135297293,34.570831125761025,32.094796324131835
County of school,STEM share zero-filled (pp),BJS imputation,4.060811390369983,8.402523300605237,15.542704814116174,18.213617536987638,14.532334841241259
County of school,STEM share zero-filled (pp),Callaway-Sant'Anna DR,-8.044167776516545,-4.937014766435165,2.785499301799926,14.01710337151948,10.323309847009257
County of school,STEM share zero-filled (pp),Wooldridge ETWFE,12.500107382788741,14.758870993693321,21.671536114580192,32.950520551955904,29.259039673932026
