sample,design,spec,outcome,event_time,att,se,conf_low,conf_high
All controls,County of school,Any exposure,STEM share zero-filled (pp),-60,-8.044167776516545,5.822667255687698,-19.456595597664432,3.3682600446313415
All controls,County of school,Any exposure,STEM share zero-filled (pp),-50,-6.106565747220337,6.151012104958051,-18.162549472938117,5.949417978497442
All controls,County of school,Any exposure,STEM share zero-filled (pp),-40,-4.937014766435165,5.205139671120802,-15.139088521831937,5.265058988961607
All controls,County of school,Any exposure,STEM share zero-filled (pp),-30,-1.1699641079191287,5.1807743805474775,-11.324281893792184,8.984353677953928
All controls,County of school,Any exposure,STEM share zero-filled (pp),-20,2.785499301799926,5.1127958428789535,-7.235580550242823,12.806579153842677
All controls,County of school,Any exposure,STEM share zero-filled (pp),0,14.01710337151948,4.571049891844568,5.057845583504127,22.976361159534832
All controls,County of school,Any exposure,STEM share zero-filled (pp),10,2.4718651867805934,5.928930884364941,-9.14883934657469,14.092569720135877
All controls,County of school,Any exposure,STEM share zero-filled (pp),20,12.067825976380968,5.344090612039803,1.5934083767829534,22.542243575978983
All controls,County of school,Any exposure,STEM share zero-filled (pp),30,10.799065144147884,5.383958588364278,0.2465063109538992,21.351623977341866
All controls,County of school,Any exposure,STEM share zero-filled (pp),40,10.79000321084069,5.20888741761131,0.5805838723225225,20.999422549358854
All controls,County of school,Any exposure,STEM share zero-filled (pp),50,18.542122379780235,5.3887878663141695,7.980098161804463,29.104146597756007
All controls,County of school,Any exposure,STEM share zero-filled (pp),60,3.575183659614952,4.977048070571799,-6.179830558705774,13.330197877935678
All controls,County of school,Any exposure,STEM share smoothed (pp),-60,-10.96532588588013,4.3327288269033755,-19.45747438661075,-2.473177385149514
All controls,County of school,Any exposure,STEM share smoothed (pp),-50,-7.934213271632122,4.355851542244779,-16.47168229443189,0.6032557511676453
All controls,County of school,Any exposure,STEM share smoothed (pp),-40,-6.1861694315581595,3.952561663390093,-13.933190291802742,1.5608514286864228
All controls,County of school,Any exposure,STEM share smoothed (pp),-30,-3.432380890004809,4.131742141693767,-11.530595487724593,4.665833707714974
All controls,County of school,Any exposure,STEM share smoothed (pp),-20,2.2577478894174066,3.536183000814502,-4.673170792179017,9.18866657101383
All controls,County of school,Any exposure,STEM share smoothed (pp),0,9.876749987472742,3.7949384789011824,2.4386705688264243,17.31482940611906
All controls,County of school,Any exposure,STEM share smoothed (pp),10,2.529682431743539,4.118511783993878,-5.5426006648844615,10.60196552837154
All controls,County of school,Any exposure,STEM share smoothed (pp),20,10.245783152460415,3.881157148340161,2.6387151417137,17.85285116320713
All controls,County of school,Any exposure,STEM share smoothed (pp),30,9.115156600302797,4.3809111315867675,0.5285707823927321,17.70174241821286
All controls,County of school,Any exposure,STEM share smoothed (pp),40,8.3539040124614,4.129878591431054,0.25934197325653585,16.448466051666266
All controls,County of school,Any exposure,STEM share smoothed (pp),50,14.813365343510467,4.36343908054351,6.261024745645187,23.365705941375747
All controls,County of school,Any exposure,STEM share smoothed (pp),60,2.394882419143987,4.071077575316015,-5.5844296284754025,10.374194466763377
All controls,County of school,Any exposure,STEM births (count),-60,-1.5782906439398072,1.0144649194665687,-3.566641886094282,0.41006059821466745
All controls,County of school,Any exposure,STEM births (count),-50,-1.0547999500243004,0.6717417832989497,-2.371413845290242,0.26181394524164103
All controls,County of school,Any exposure,STEM births (count),-40,-1.124333287009746,0.810960398312835,-2.713815667702902,0.4651490936834104
All controls,County of school,Any exposure,STEM births (count),-30,-0.9091038247946683,0.8469369001514125,-2.5691001490914367,0.7508924995021002
All controls,County of school,Any exposure,STEM births (count),-20,-0.40955276607520535,0.58286566330562,-1.5519694661542205,0.7328639340038097
All controls,County of school,Any exposure,STEM births (count),0,1.4714141051322502,1.1653629486944534,-0.8126972743088783,3.7555254845733788
All controls,County of school,Any exposure,STEM births (count),10,3.8507903303143003,3.4798968422721352,-2.9698074805390844,10.671388141167686
All controls,County of school,Any exposure,STEM births (count),20,3.612281650230131,2.705538232174025,-1.690573284830958,8.91513658529122
All controls,County of school,Any exposure,STEM births (count),30,5.4112058742536835,3.4088540296151835,-1.2701480237920757,12.092559772299442
All controls,County of school,Any exposure,STEM births (count),40,3.8953306821284515,1.2021525021691735,1.5391117778768715,6.2515495863800314
All controls,County of school,Any exposure,STEM births (count),50,3.0737382136804294,1.2781649436061076,0.5685349242124587,5.5789415031484
All controls,County of school,Any exposure,STEM births (count),60,2.005585157288971,1.2081373554402273,-0.36236405937387417,4.373534373951816
All controls,County of school,Any exposure,Any STEM birth (pp),-60,-17.221764463781984,7.682428886099091,-32.2793250805362,-2.164203847027766
All controls,County of school,Any exposure,Any STEM birth (pp),-50,-15.699481669998654,6.960141098633124,-29.341358223319578,-2.057605116677731
All controls,County of school,Any exposure,Any STEM birth (pp),-40,-8.488930050886893,6.319992627741969,-20.87611560126115,3.898255499487366
All controls,County of school,Any exposure,Any STEM birth (pp),-30,-8.749413304951835,6.039272942054635,-20.58638827137892,3.087561661475249
All controls,County of school,Any exposure,Any STEM birth (pp),-20,-0.3327087447749982,5.957183036716171,-12.008787496738693,11.343370007188698
All controls,County of school,Any exposure,Any STEM birth (pp),0,13.519898717512838,5.545630777125937,2.650462394346002,24.389335040679676
All controls,County of school,Any exposure,Any STEM birth (pp),10,7.250554782027659,6.677469736377405,-5.837285901272055,20.338395465327373
All controls,County of school,Any exposure,Any STEM birth (pp),20,16.78847755153425,6.1867975345362,4.662354383843299,28.9146007192252
All controls,County of school,Any exposure,Any STEM birth (pp),30,22.931724204218476,7.1981148304710105,8.823419136495296,37.040029271941656
All controls,County of school,Any exposure,Any STEM birth (pp),40,21.50002002666466,6.514483157712003,8.731633037549136,34.268407015780184
