county_geoid,n_nearby_schools,first_exposure_year,first_exposure_schools,first_exposure_access,g_any
18149,1,1894,Culver Academies,low,1880
19031,1,1890,Scattergood Friends School,low,1880
21029,2,1856,Louisville Male High School,high,1850
21111,2,1856,Louisville Male High School,high,1850
21185,2,1856,Louisville Male High School,high,1850
22051,2,1903,Isidore Newman School,low,1890
22057,1,1929,Metairie Park Country Day School,low,1920
22071,2,1903,Isidore Newman School,low,1890
22075,2,1903,Isidore Newman School,low,1890
22087,1,1903,Isidore Newman School,low,1890
22089,1,1929,Metairie Park Country Day School,low,1920
22103,1,1903,Isidore Newman School,low,1890
23001,1,1898,Waynflete School,low,1890
23005,1,1898,Waynflete School,low,1890
23017,1,1804,Hebron Academy,low,1790
24003,3,1839,Baltimore City College,high,1830
24005,4,1839,Baltimore City College,high,1830
24015,2,1919,Tower Hill School,low,1910
24017,1,1839,Episcopal High School,low,1830
24025,1,1873,McDonogh School,high,1860
24027,3,1839,Baltimore City College,high,1830
24031,2,1839,Episcopal High School,low,1830
24033,1,1839,Episcopal High School,low,1830
24510,4,1839,Baltimore City College,high,1830
25005,3,1866,Noble and Greenough School,low,1860
25017,4,1866,Noble and Greenough School,low,1860
25021,2,1866,Noble and Greenough School,low,1860
25023,1,1866,Noble and Greenough School,low,1860
25025,1,1866,Noble and Greenough School,low,1860
25027,4,1884,Groton School,low,1870
26125,3,1877,University of Detroit Jesuit High School and Academy,low,1870
26163,1,1877,University of Detroit Jesuit High School and Academy,low,1870
27003,2,1886,Breck School,low,1880
27019,2,1886,Breck School,low,1880
27037,1,1858,Shattuck-St. Mary's School,low,1850
27053,2,1886,Breck School,low,1880
27131,1,1858,Shattuck-St. Mary's School,low,1850
27147,1,1858,Shattuck-St. Mary's School,low,1850
28039,1,1892,St. Paul's School,low,1880
28059,1,1892,St. Paul's School,low,1880
29037,1,1910,Pembroke Hill School,low,1900
29047,1,1910,Pembroke Hill School,low,1900
29095,1,1910,Pembroke Hill School,low,1900
29099,2,1913,MICDS,low,1900
29183,2,1913,MICDS,low,1900
29189,2,1913,MICDS,low,1900
29510,2,1913,MICDS,low,1900
31053,2,1859,Omaha Central High School,high,1850
31055,2,1859,Omaha Central High School,high,1850
31153,2,1859,Omaha Central High School,high,1850
31155,2,1859,Omaha Central High School,high,1850
31177,2,1859,Omaha Central High School,high,1850
33001,1,1856,St. Paul's School,low,1850
33009,2,1842,St. Johnsbury Academy,high,1830
33011,1,1856,St. Paul's School,low,1850
33013,1,1856,St. Paul's School,low,1850
34003,7,1884,The Brearley School,low,1870
34005,3,1810,The Lawrenceville School,low,1800
34007,1,1836,Central High School,high,1830
34013,5,1884,The Brearley School,low,1870
34015,2,1836,Central High School,high,1830
34017,7,1884,The Brearley School,low,1870
34019,4,1810,The Lawrenceville School,low,1800
34021,2,1810,The Lawrenceville School,low,1800
34023,3,1810,The Lawrenceville School,low,1800
34025,3,1810,The Lawrenceville School,low,1800
34027,2,1848,Blair Academy,low,1840
34031,4,1884,The Brearley School,low,1870
34033,3,1884,The Haverford School,low,1870
34035,3,1810,The Lawrenceville School,low,1800
34037,1,1848,Blair Academy,low,1840
34039,6,1861,The Pingry School,low,1850
34041,1,1848,Blair Academy,low,1840
35005,1,1891,New Mexico Military Institute,high,1880
36005,7,1884,The Brearley School,low,1870
36047,7,1884,The Brearley School,low,1870
36059,7,1884,The Brearley School,low,1870
36061,7,1884,The Brearley School,low,1870
36081,7,1884,The Brearley School,low,1870
36083,1,1829,Burr and Burton Academy,high,1820
36085,5,1884,The Brearley School,low,1870
36087,2,1887,Horace Mann School,low,1880
36115,1,1829,Burr and Burton Academy,high,1820
36119,6,1884,The Brearley School,low,1870
37021,1,1900,Asheville School,low,1890
37089,1,1900,Asheville School,low,1890
37115,1,1900,Asheville School,low,1890
39013,1,1814,Linsly School,low,1800
39035,3,1826,Western Reserve Academy,low,1820
39041,1,1911,Columbus Academy,low,1900
39045,1,1911,Columbus Academy,low,1900
39049,1,1911,Columbus Academy,low,1900
39081,1,1814,Linsly School,low,1800
39103,3,1826,Western Reserve Academy,low,1820
39129,1,1911,Columbus Academy,low,1900
39133,1,1826,Western Reserve Academy,low,1820
39153,3,1826,Western Reserve Academy,low,1820
39169,1,1826,Western Reserve Academy,low,1820
40037,1,1922,Holland Hall,low,1910
40113,1,1922,Holland Hall,low,1910
40131,1,1922,Holland Hall,low,1910
40143,1,1922,Holland Hall,low,1910
40145,1,1922,Holland Hall,low,1910
41005,2,1869,Oregon Episcopal School,low,1860
41051,2,1869,Oregon Episcopal School,low,1860
42003,1,1883,Shady Side Academy,low,1870
42017,4,1810,The Lawrenceville School,low,1800
42029,2,1851,The Hill School,low,1840
42045,3,1836,Central High School,high,1830
42055,1,1893,Mercersburg Academy,low,1880
42057,1,1893,Mercersburg Academy,low,1880
42059,1,1814,Linsly School,low,1800
42061,1,1893,Mercersburg Academy,low,1880
42089,1,1848,Blair Academy,low,1840
42091,3,1836,Central High School,high,1830
42095,1,1848,Blair Academy,low,1840
42101,2,1836,Central High School,high,1830
42125,1,1814,Linsly School,low,1800
