spec,outcome,sample_counties,counties_dropped_min_pre,sample_counties_used,treated_counties_used,control_counties_used,first_cohort,last_cohort
High access vs all other counties,STEM births (count),3142,4,3138,10,3128,1850,1910
High access vs all other counties,Any STEM birth (pp),3142,4,3138,10,3128,1850,1910
High access vs all other counties,"STEM births per 1,000 population",3141,4,3137,10,3127,1850,1910
High access vs all other counties,"STEM births per 1,000 est. births",3141,4,3137,10,3127,1850,1910
High access vs all other counties,County population,3142,4,3138,10,3128,1850,1910
