design,spec,outcome,lead_m60,se_m60,lead_m40,se_m40,lead_m20,se_m20
50 km radius,Any exposure,Any STEM birth (pp),-4.995586763028867,2.157719111128233,-3.746956485397647,2.2264423766563484,-0.30671215721769285,1.9047797690445891
50 km radius,Any exposure,STEM births (count),-0.3100329612234412,0.135987094480383,-0.20935209816962155,0.07697534501499578,-0.03249007552698222,0.050497886222502106
50 km radius,Any exposure,STEM share smoothed (pp),-2.6880495780084326,1.4377210597822907,-1.5139393083556387,1.3721987206089843,0.9687018620839395,1.2602803558329072
50 km radius,Any exposure,STEM share zero-filled (pp),-2.479516543966591,1.8292433574063771,-1.7550648309316466,1.7578159201928298,1.0969773379589087,1.7539618583574434
50 km radius,High-access first exposure,Any STEM birth (pp),-3.768299716445749,12.15715640126511,-6.36173913089424,5.356389825430699,2.981812681530873,4.183219747423222
50 km radius,High-access first exposure,STEM births (count),-0.3821072005250367,0.6122455256053866,-0.13898573713156068,0.14837274382359297,-0.08351833698630264,0.09975788070978463
50 km radius,High-access first exposure,STEM share smoothed (pp),-0.7438667686844964,8.045927866350986,-3.7067510833434425,3.548017407630513,0.20031167263292848,3.048421968596189
50 km radius,High-access first exposure,STEM share zero-filled (pp),4.10068374102258,9.666542703662063,-3.123661358219754,4.481519366405785,4.004835542544423,4.481291916377576
50 km radius,Low-access first exposure,Any STEM birth (pp),-5.058745778413518,2.2037557041495965,-3.4047971606686653,2.2822026847564088,-1.0262269898324154,2.123002009067998
50 km radius,Low-access first exposure,STEM births (count),-0.3076268465721158,0.14519955624802872,-0.22082189516165454,0.09027573632660235,-0.022419220930315484,0.06083522553845974
50 km radius,Low-access first exposure,STEM share smoothed (pp),-2.77642190561285,1.4490708682382432,-1.236566462640128,1.5458288594638743,1.1070611401691752,1.433611276326524
50 km radius,Low-access first exposure,STEM share zero-filled (pp),-2.7362300519525,1.9562181741776736,-1.5897601178292282,1.9399241379465462,0.45189042308959226,1.9018063972643182
County of school,Any exposure,Any STEM birth (pp),-17.221764463781984,8.122794741347152,-8.488930050886893,6.695502893126776,-0.3327087447749982,5.935241775230078
County of school,Any exposure,STEM births (count),-1.5782906439398072,0.9705214950622467,-1.124333287009746,0.8216951394972573,-0.40955276607520535,0.567970130372216
County of school,Any exposure,STEM share smoothed (pp),-10.96532588588013,4.537201879750103,-6.1861694315581595,4.01020692178966,2.2577478894174066,3.9577555273042493
County of school,Any exposure,STEM share zero-filled (pp),-8.044167776516545,5.980870316609581,-4.937014766435165,5.08415881957094,2.785499301799926,5.076506927503524
County of school,High-access first exposure,Any STEM birth (pp),-19.447885082068886,27.914414393617974,-22.265349907802722,18.14868678197736,0.7498064281133827,12.55187304213536
County of school,High-access first exposure,STEM births (count),-11.41268220463298,10.931806569744325,-5.578904495198949,6.2302046581394865,-2.820916851661691,3.2525553385899557
County of school,High-access first exposure,STEM share smoothed (pp),-18.262435334109693,17.277938131119647,-21.129646213336787,9.711228984722489,-1.481566976910111,9.044697830371229
County of school,High-access first exposure,STEM share zero-filled (pp),-12.488857371830361,20.283835047390987,-19.299154989221332,14.304189111284979,1.6237224479442474,6.831796074768147
County of school,Low-access first exposure,Any STEM birth (pp),-17.05892619009277,7.522021404984073,-6.66309057421155,6.575548912345092,-0.5383423204690251,6.836156724196357
County of school,Low-access first exposure,STEM births (count),-0.842246901042973,0.29479525123662625,-0.533886375801585,0.2736447894748207,0.048599589662287085,0.18235392064987607
County of school,Low-access first exposure,STEM share smoothed (pp),-10.418220648485129,4.711979789284559,-4.198994108622055,4.285242168525907,2.966734017752507,4.228651991647335
County of school,Low-access first exposure,STEM share zero-filled (pp),-7.713115318198194,6.384466505944021,-3.0282035629175645,5.867043614511332,3.0058735278648543,5.656858659507054
