fair_row_id,Year,City,Country,Fair_name,event_year,in_treatment_window,lat,lon,geonameid,matched_name,matched_country_iso3,assigned_unit_type,assigned_unit_id,assigned_lau_id,fair_lau_iso2,fair_lau_name,europe_place_name,europe_country,europe_iso3,match_status
500,1992,three expositions (1 was cancelled) celebrating 500 years sinceChristopher Columbusreached the Americas Seville,Spain,"Seville Expo '92 Universal Exposition, port where Columbus started his voyage Genoa, Italy – Genoa Expo '92 Specialized Exposition, city where Columbus was born Columbus, Ohio, United States - AmeriFlora '92 Horticultural Exposition, city named in honor of Columbus Chicago, Illinois, United States (Cancelled) – meant to generically represent the Americas-side of Columbus' voyage",1992,FALSE,37.39141,-5.95918,6361046,Seville,ESP,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
501,1992,Zoetermeer,Netherlands,Floriade 1992,1992,FALSE,52.0575,4.49306,2743856,Zoetermeer,NLD,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
502,1993,Stuttgart,Germany,Internationale Gartenbauausstellung 93,1993,FALSE,48.78232,9.17702,2825297,Stuttgart,DEU,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
503,1993,Daejeon,South Korea,Expo '93,1993,FALSE,36.34913,127.38493,1835235,Daejeon,KOR,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
504,1995,Vienna,Austria,which was proposed to be a joint exhibition with Budapest. This was never held,1995,FALSE,48.20849,16.37208,2761369,Vienna,AUT,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
505,1996,Budapest,Hungary,cancelled,1996,FALSE,47.49835,19.04045,3054643,Budapest,HUN,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
506,1998,Lisbon,Portugal,Expo '98,1998,FALSE,38.72509,-9.1498,2267057,Lisbon,PRT,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
507,1999,Kunming,China,Expo '99,1999,FALSE,25.03889,102.71833,1804651,Kunming,CHN,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
508,2000,Hanover,Germany,Expo 2000,2000,FALSE,53.1742,8.50694,2910830,Hannover,DEU,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
509,2000,Greenwich,United Kingdom,Millennium Dome,2000,FALSE,51.47785,-0.01176,2647937,Greenwich,GBR,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
