spec,outcome,sample_counties,counties_dropped_min_pre,sample_counties_used,treated_counties_used,control_counties_used,first_cohort,last_cohort
High access vs all other counties,STEM births (count),3139,2,3137,5,3132,1850,1890
High access vs all other counties,Any STEM birth (pp),3139,2,3137,5,3132,1850,1890
High access vs all other counties,"STEM births per 1,000 population",3139,2,3137,5,3132,1850,1890
High access vs all other counties,"STEM births per 1,000 est. births",3139,2,3137,5,3132,1850,1890
High access vs all other counties,County population,3139,2,3137,5,3132,1850,1890
