spec,outcome,sample_counties,counties_dropped_min_pre,sample_counties_used,treated_counties_used,control_counties_used,first_cohort,last_cohort
High access vs low-access counties only,STEM births (count),84,2,82,7,75,1850,1930
High access vs low-access counties only,Any STEM birth (pp),84,2,82,7,75,1850,1930
High access vs low-access counties only,"STEM births per 1,000 population",84,2,82,7,75,1850,1930
High access vs low-access counties only,"STEM births per 1,000 est. births",84,2,82,7,75,1850,1930
High access vs low-access counties only,County population,84,2,82,7,75,1850,1930
