wikidata_code,birth,bplo1,bpla1,level1_main_occ,level3_main_occ,level3_all_occ,level3_occ,stem,GEOID,birth_decade,father_uri,father_occ,mother_uri,schools_uris,has_father,has_mother,has_school,has_father_occ
Q506349,1955,-75.16361236572266,39.95277786254883,Discovery/Science,astronaut,D:_officer_astronaut_P:_astronaut_marine_aviator_English_astronaute_French_astronauta_Italian_astronaut_German_astronauta_piloto_marinha_Portuguese_astronaut_Swedish,astronaut,1,42101,1950,NA,NA,NA,http://www.wikidata.org/entity/Q501758|http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q1466001|http://www.wikidata.org/entity/Q4785655,FALSE,FALSE,TRUE,FALSE
Q5246039,1904,-122.25,37.79999923706055,Discovery/Science,chemist,D:_chemist_P:_biochemist_chemist_medical_English_biochemiker_chemiker_German,chemist,1,06001,1900,http://www.wikidata.org/entity/Q18236498,http://www.wikidata.org/entity/Q1622272,NA,http://www.wikidata.org/entity/Q129421|http://www.wikidata.org/entity/Q168756,TRUE,FALSE,TRUE,TRUE
Q323098,1836,-84.19999694824219,39.76666641235352,Discovery/Science,botanist,D:_botanist_mycologist_P:_botanist_teacher_botany_English_botaniker_mykologe_offiziell_German_botánic_micólogo_Spanish,botanist,1,39113,1830,NA,NA,NA,,FALSE,FALSE,FALSE,FALSE
Q5079899,1956,-77.5,41,Discovery/Science,engineer,D:_engineer_P:_engineer_manufacturer_English,engineer,1,42035,1950,NA,NA,NA,http://www.wikidata.org/entity/Q41506|http://www.wikidata.org/entity/Q81087|http://www.wikidata.org/entity/Q756361,FALSE,FALSE,TRUE,FALSE
Q8007305,1954,-72.92500305175781,41.30833435058594,Discovery/Science,geographer,D:_geographer_historian_academic_P:_historian_research_professor_English_historiker_German,geographer,1,09009,1950,NA,NA,NA,http://www.wikidata.org/entity/Q34433|http://www.wikidata.org/entity/Q49112|http://www.wikidata.org/entity/Q81174|http://www.wikidata.org/entity/Q838330,FALSE,FALSE,TRUE,FALSE
Q298341,1948,-73.91777801513672,40.70416641235352,Discovery/Science,inventor,D:_inventor_computer_scientist_entrepreneur_writer_writer_scientist_futurist_artificial_P:_inventor_futurist_artificial_English_auteur_ingénieur_urologue_French_inventore_saggista_Italian_autor_erfinder_futurist_German_inventor_música_músico_Spanish_inventor_futurista_Portuguese_uppfinnare_forskning_urolog_Swedish,inventor,1,36047,1940,NA,NA,NA,http://www.wikidata.org/entity/Q49108|http://www.wikidata.org/entity/Q6776801,FALSE,FALSE,TRUE,FALSE
Q4027579,1849,-71.538055419921875,43.2066650390625,Discovery/Science,inventor,D:_inventor_P:_inventor_patent_engineer_English_inventore_Italian_inventor_actor_técnic_Spanish_inventor_Portuguese,inventor,1,33013,1840,NA,NA,NA,,FALSE,FALSE,FALSE,FALSE
Q7048231,1931,-117.1624984741211,32.71500015258789,Discovery/Science,engineer,D:_engineer_P:,engineer,1,06073,1930,NA,NA,NA,,FALSE,FALSE,FALSE,FALSE
Q962702,1819,-77.81361389160156,42.79583358764648,Discovery/Science,astronomer,D:_astronomer_astrophysicist_physicist_P:_astrophysicist_physicist_inventor_English_astrophysicien_physicien_inventeur_French_fisico_Italian_physiker_erfinder_German_ astro_físic_inventor_Spanish,astronomer,1,36051,1810,NA,NA,NA,http://www.wikidata.org/entity/Q49112|http://www.wikidata.org/entity/Q1426464,FALSE,FALSE,TRUE,FALSE
Q7373005,1919,-77.03666687011719,38.89500045776367,Discovery/Science,biologist,D:_biologist_geneticist_P:_biologist_discover_English,biologist,1,11001,1910,NA,NA,NA,http://www.wikidata.org/entity/Q1542352,FALSE,FALSE,TRUE,FALSE
Q4942303,1906,-97.777496337890625,41.74750137329102,Discovery/Science,botanist,D:_botanist_curator_P:_botanist_curator_botany_English,botanist,1,31119,1900,NA,NA,NA,,FALSE,FALSE,FALSE,FALSE
Q6115266,1924,-87.6500473022461,41.85002899169922,Discovery/Science,geologist,D:_geologist_P:_geologist_professor_engineer_English,geologist,1,17031,1920,NA,NA,NA,http://www.wikidata.org/entity/Q21578|http://www.wikidata.org/entity/Q391028,FALSE,FALSE,TRUE,FALSE
Q4795114,1977,-67.99805450439453,46.86360931396484,Discovery/Science,biologist,D:_biologist_explorer_biologist_faculty_P:_professor_medical_doctor_English_astronaute_groupe_French_astronauta_Italian_explorador_grupo_astro_Spanish_professor_medic_mergulho_Portuguese_astronaut_Swedish,biologist,1,23003,1970,NA,NA,NA,http://www.wikidata.org/entity/Q49114|http://www.wikidata.org/entity/Q604029|http://www.wikidata.org/entity/Q766034,FALSE,FALSE,TRUE,FALSE
Q329346,1951,-93.2861099243164,37.19499969482422,Discovery/Science,programmer,D:_programmer_engineer_computer_scientist_P:_designer_developer_video game_English_programmeur_French_programmatore_autore_Italian_designer_spiel_spiel_German_diseñador_Spanish_grundare_utvecklare_Swedish,programmer,1,29077,1950,NA,NA,NA,http://www.wikidata.org/entity/Q168756|http://www.wikidata.org/entity/Q842909,FALSE,FALSE,TRUE,FALSE
Q28962231,1947,-74,40.70000076293945,Discovery/Science,mathematician,D:_mathematician_P:_mathematiker_pädagoge_German,mathematician,1,36047,1940,NA,NA,NA,http://www.wikidata.org/entity/Q41506|http://www.wikidata.org/entity/Q762266,FALSE,FALSE,TRUE,FALSE
Q530335,1878,-75.16361236572266,39.95277786254883,Discovery/Science,zoologist,D:_zoologist_herpetologist_ichthyologist_P:_zoologist_English_zoologiste_French_zoologo_Italian_zoologe_German_zoolog_zoólog_Spanish,zoologist,1,42101,1870,NA,NA,NA,http://www.wikidata.org/entity/Q41506,FALSE,FALSE,TRUE,FALSE
Q1445286,1929,-71.05777740478516,42.36027908325195,Discovery/Science,biologist,D:_biologist_geneticist_biologist_academic_P:_biologist_geneticist_conservative_English_biochimico_chimico_genetista_Italian_genetiker_German_biolog_biología_biólog_Spanish_biolog_konservativ_Swedish,biologist,1,25025,1920,NA,NA,NA,http://www.wikidata.org/entity/Q13371|http://www.wikidata.org/entity/Q49123|http://www.wikidata.org/entity/Q149990,FALSE,FALSE,TRUE,FALSE
Q5590978,1869,-73.99028015136719,40.69277954101563,Discovery/Science,mathematician,D:_mathematician_P:_mathematician_English_mathématicien_French,mathematician,1,36047,1860,NA,NA,NA,http://www.wikidata.org/entity/Q49088|http://www.wikidata.org/entity/Q49205,FALSE,FALSE,TRUE,FALSE
Q719921,1939,-122.6666641235352,45.51666641235352,Discovery/Science,astronaut,D:_officer_astronaut_P:_navy_officer_astronaut_English_astronaute_French_astronauta_Italian_astronaut_German_astronauta_almirante_marinha_Portuguese_astronaut_Swedish,astronaut,1,41051,1930,NA,NA,NA,http://www.wikidata.org/entity/Q432637|http://www.wikidata.org/entity/Q559549|http://www.wikidata.org/entity/Q6550727,FALSE,FALSE,TRUE,FALSE
Q330593,1916,-77.03666687011719,38.89500045776367,Discovery/Science,mathematician,D:_mathematician_historian_academic_P:_mathematician_English_mathematiker_German,mathematician,1,11001,1910,NA,NA,NA,http://www.wikidata.org/entity/Q193727|http://www.wikidata.org/entity/Q503415,FALSE,FALSE,TRUE,FALSE
Q16212771,1968,-73.78194427490234,40.90861129760742,Discovery/Science,meteorologist,D:_meteorologist_P:_television_meteorologist_English,meteorologist,1,36119,1960,NA,NA,NA,http://www.wikidata.org/entity/Q49213,FALSE,FALSE,TRUE,FALSE
