spec,outcome,estimator,conf_low,conf_high,event_time,att,se
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,3.9469946097072026,8.053005390297134,-50,6.000000000002168,1.0474517297423294
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,1.8068306381881587,3.859836028482829,-40,2.833333333335494,0.5237258648710894
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-7.513251347572207,-6.486748652424978,-30,-6.999999999998592,0.26186293243551767
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,3.4867486524290614,4.513251347575818,-20,4.00000000000244,0.2618629324353972
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,0,0,-10,0,0
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,14.556667956392019,17.729046329325904,0,16.14285714285896,0.8092801971770109
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,21.48132018254006,26.18534648412981,10,23.833333333334934,1.2000067095892208
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,29.142064574252693,31.857935425750533,20,30.500000000001613,0.6928241968106729
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,26.392343766718334,35.32194194757096,30,30.857142857144648,2.277958719605263
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-19.53444143508954,-12.132225231576237,40,-15.833333333332888,1.888320460079924
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-11.930659965164722,-1.7836257491175207,50,-6.857142857141121,2.588529136746735
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,15.427409864451198,19.98431174728023,-50,17.705860805865715,1.1624749701094477
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,12.247737139931246,16.118563226378708,-40,14.183150183154977,0.987455634297822
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-8.906931727146254,-1.572189151968315,-30,-5.239560439557285,1.8711077997902907
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,10.10762558455071,16.367832290918102,-20,13.237728937734406,1.5969915067263754
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,0,0,-10,0,0
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,22.297515269497257,23.34644077446691,0,22.821978021982083,0.2675830369820544
