"country","iso3","year","births","n_allsci","rate_per_1000_mort","rate_per_1000_deaths","rate_per_100k_births"
"Angola","AGO",1954,263400,2,0.011218434130964,0.01230012300123,0.759301442672741
"Angola","AGO",1956,271500,1,0.00540353607400683,0.00583022388059702,0.368324125230203
"Angola","AGO",1959,283200,2,0.0102351526317136,0.0107683196037258,0.706214689265537
"Angola","AGO",1960,287000,1,0.00502676753713524,0.00524906829037846,0.348432055749129
"Angola","AGO",1966,311700,1,0.00448567276120073,0.00451875282422051,0.320821302534488
"Angola","AGO",1967,316800,1,0.00438937245142062,0.00439869798539632,0.315656565656566
"Angola","AGO",1975,379800,1,0.00352334746195666,0.00350042005040605,0.263296471827278
"Albania","ALB",1811,13980,1,NA,0.114508187335394,7.15307582260372
"Albania","ALB",1818,14330,1,NA,0.111681929863748,6.97836706210747
"Albania","ALB",1854,17220,1,NA,0.092954080684142,5.80720092915215
"Albania","ALB",1859,18020,1,NA,0.088809946714032,5.54938956714761
"Albania","ALB",1864,18920,1,NA,0.0846023688663283,5.28541226215645
"Albania","ALB",1872,20470,2,NA,0.156384392837595,9.77039570102589
"Albania","ALB",1889,24160,2,NA,0.132511760418737,8.27814569536424
"Albania","ALB",1892,24900,1,NA,0.064283877603497,4.01606425702811
"Albania","ALB",1896,25930,1,NA,0.0617169659939517,3.85653682992673
"Albania","ALB",1899,26720,1,NA,0.0598444045481747,3.74251497005988
"Albania","ALB",1900,26980,2,NA,0.118483412322275,7.41289844329133
"Albania","ALB",1901,27250,1,NA,0.0586166471277843,3.6697247706422
"Albania","ALB",1909,29380,1,NA,0.0539665407447383,3.40367597004765
"Albania","ALB",1910,29650,2,NA,0.106837606837607,6.74536256323777
"Albania","ALB",1912,30220,1,NA,0.0522739153162572,3.30906684315023
"Albania","ALB",1913,30470,1,NA,0.05175983436853,3.28191663931736
"Albania","ALB",1914,30690,3,NA,0.153925089789636,9.77517106549365
"Albania","ALB",1915,30860,2,NA,0.101936799184506,6.48088139987038
"Albania","ALB",1916,31040,1,NA,0.0506072874493927,3.22164948453608
"Albania","ALB",1919,31550,1,0.0495761241386148,0.0495785820525533,3.16957210776545
"Albania","ALB",1920,31720,1,NA,0.0492368291482029,3.15258511979823
"Albania","ALB",1922,32060,1,NA,0.0485908649173955,3.11915159076731
"Albania","ALB",1925,32560,2,NA,0.0952834683182468,6.14250614250614
"Albania","ALB",1926,31600,1,NA,0.0490196078431373,3.16455696202532
"Albania","ALB",1929,28700,2,NA,0.10752688172043,6.96864111498258
"Albania","ALB",1934,33300,1,NA,0.0428761308579514,3.003003003003
"Albania","ALB",1936,35140,3,NA,0.11860051393556,8.53727945361411
"Albania","ALB",1939,37900,1,NA,0.0353419332037462,2.63852242744063
"Albania","ALB",1941,39740,1,NA,0.0329359067255122,2.51635631605435
"Albania","ALB",1942,40660,1,NA,0.0318369945877109,2.45941957697983
"Albania","ALB",1944,42500,1,NA,0.0298222593343672,2.35294117647059
"Albania","ALB",1948,46180,3,NA,0.0792141951837769,6.4963187527068
"Albania","ALB",1955,58670,2,0.0459347726228755,0.0400352310032829,3.40889722174876
"Albania","ALB",1957,62620,2,0.0425124880433627,0.0372397869884184,3.19386777387416
"Albania","ALB",1958,64380,1,0.0205313513735474,0.0180476095941093,1.55327741534638
"Albania","ALB",1962,68890,1,0.0185343070022612,0.0166464135302049,1.45158949049209
"Albania","ALB",1969,68480,1,0.0173379336650658,0.0164130845109721,1.46028037383178
"Albania","ALB",1981,73230,1,0.0147594940445442,0.0147143214490664,1.36556056261095
"United Arab Emirates","ARE",1981,31780,2,0.0650131651659461,0.0649308486461918,6.29326620516048
"United Arab Emirates","ARE",1984,39070,1,0.0262398320650748,0.026195840100592,2.55950857435372
"United Arab Emirates","ARE",1987,44050,1,0.0231604789587049,0.0231363657396696,2.27014755959137
"United Arab Emirates","ARE",1990,46680,2,0.043565391652871,0.043554955465058,4.28449014567266
"Argentina","ARG",1800,25030,1,0.066831517743768,0.0668449197860963,3.99520575309628
"Argentina","ARG",1801,25030,1,0.066831517743768,0.0668449197860963,3.99520575309628
"Argentina","ARG",1804,25030,1,0.066831517743768,0.0668449197860963,3.99520575309628
"Argentina","ARG",1807,25030,1,0.066831517743768,0.0668449197860963,3.99520575309628
"Argentina","ARG",1811,25060,1,0.0667512182097323,0.0667556742323097,3.99042298483639
"Argentina","ARG",1815,25480,1,0.0656512605042017,0.0656598818122127,3.92464678178964
"Argentina","ARG",1818,26140,1,0.0639918090484418,0.0639795265515035,3.82555470543229
"Argentina","ARG",1820,26750,1,0.0625351760365205,0.0625390869293308,3.73831775700935
