GEOID,decade,hyde_population
01061,1800,86.09818267822266
08125,1800,339.9251403808594
17177,1800,195.5035400390625
28153,1800,105.54912567138672
34041,1800,9497.0146484375
46051,1800,146.73793029785156
51013,1800,4078.5185546875
21007,1800,852.12591552734375
37091,1800,1932.5718994140625
13057,1800,2322.80322265625
13015,1800,1868.991455078125
17155,1800,58.20112609863281
19001,1800,207.7046356201172
39121,1800,240.72857666015625
39075,1800,386.0783996582031
27059,1800,27.018413543701172
18013,1800,35.351741790771484
29075,1800,90.86925506591797
31079,1800,467.0793151855469
46005,1800,213.38037109375
48093,1800,525.1212158203125
51640,1800,295.5277404785156
54063,1800,1356.4893798828125
48233,1800,360.1302490234375
27165,1800,30.090866088867188
46107,1800,72.69600677490234
28009,1800,54.09676742553711
21047,1800,3139.259521484375
31075,1800,38.701969146728516
09013,1800,17699.7265625
13295,1800,1573.2301025390625
20075,1800,249.0143585205078
26089,1800,21.421077728271484
28141,1800,93.79718017578125
40067,1800,1051.4427490234375
48487,1800,488.7942810058594
21003,1800,1419.04296875
05043,1800,138.96170043945313
05039,1800,82.81490325927734
18049,1800,45.42750930786133
20113,1800,1202.6793212890625
21197,1800,1015.8001098632813
21217,1800,1247.7813720703125
26073,1800,57.028079986572266
28155,1800,51.97519302368164
31143,1800,218.19488525390625
21073,1800,2409.701416015625
31035,1800,190.2280731201172
42027,1800,10628.947265625
47075,1800,736.33953857421875
47139,1800,733.62298583984375
51009,1800,9408.3662109375
55069,1800,353.9166259765625
48381,1800,1107.30810546875
19159,1800,169.1334686279297
27023,1800,41.45566177368164
20069,1800,512.89013671875
40021,1800,1671.9498291015625
18005,1800,67.47928619384766
09015,1800,17116.353515625
12061,1800,221.40037536621094
19005,1800,255.55979919433594
22065,1800,534.0216064453125
26055,1800,46.52785873413086
29153,1800,131.0511016845703
42071,1800,22121.9140625
48195,1800,246.8633270263672
51510,1800,1728.6318359375
56033,1800,206.15188598632813
08111,1800,33.877471923828125
13135,1800,5403.74072265625
18067,1800,55.00718688964844
19175,1800,171.45401000976563
39063,1800,391.5787353515625
26035,1800,39.858036041259766
29229,1800,136.73011779785156
21203,1800,1314.662353515625
29101,1800,259.33837890625
48173,1800,206.11068725585938
48129,1800,216.45068359375
48223,1800,668.93560791015625
54041,1800,904.8675537109375
51630,1800,525.3292236328125
53021,1800,15.809296607971191
08009,1800,155.98526000976563
47113,1800,1398.6102294921875
27149,1800,32.6945686340332
38015,1800,56.980133056640625
13229,1800,536.86553955078125
18183,1800,51.321468353271484
18115,1800,90.795928955078125
12037,1800,85.893341064453125
26071,1800,31.484689712524414
29011,1800,141.9794921875
31145,1800,256.7784118652344
40041,1800,1346.24755859375
47131,1800,1006.1642456054688
55071,1800,341.5446472167969
01027,1800,67.03984069824219
12115,1800,458.7896728515625
17159,1800,57.39485168457031
19181,1800,510.8741149902344
26039,1800,29.63846206665039
28115,1800,97.65766143798828
19197,1800,296.4774475097656
31101,1800,328.0065002441406
36099,1800,4903.88720703125
28003,1800,90.85700988769531
48467,1800,949.6119384765625
51093,1800,3772.808349609375
56019,1800,179.6379852294922
54005,1800,1569.8499755859375
19131,1800,342.7881774902344
28137,1800,82.1297836303711
38039,1800,15.410384178161621
31059,1800,182.64883422851563
31007,1800,111.17040252685547
18037,1800,59.18125915527344
05027,1800,160.8245391845703
08099,1800,217.0412139892578
18077,1800,144.5354461669922
19043,1800,350.5602111816406
24025,1800,17074.30078125
40141,1800,1042.9326171875
40045,1800,898.027099609375
51083,1800,12846.193359375
13081,1800,461.8597717285156
05125,1800,265.6986999511719
08027,1800,104.67942810058594
13097,1800,1726.671875
17095,1800,195.73464965820313
20151,1800,490.57928466796875
22003,1800,654.8553466796875
26067,1800,78.37892150878906
31099,1800,210.91127014160156
22043,1800,1323.200927734375
42019,1800,11212.751953125
29173,1800,93.0752182006836
48169,1800,230.10279846191406
47025,1800,1144.0909423828125
55121,1800,339.150390625
47125,1800,2294.921142578125
08043,1800,435.9933776855469
20155,1800,2265.715576171875
21169,1800,1077.2257080078125
29205,1800,55.5743522644043
39163,1800,232.74209594726563
42077,1800,8157.55908203125
26101,1800,34.66234588623047
13259,1800,570.6492919921875
18051,1800,65.498870849609375
19109,1800,455.5870056152344
27091,1800,50.4804801940918
31131,1800,270.2293395996094
48203,1800,995.1890869140625
51193,1800,1758.5177001953125
05141,1800,155.3815155029297
12077,1800,170.62217712402344
16061,1800,89.35099029541016
18081,1800,76.4398422241211
18113,1800,67.52767181396484
20159,1800,856.5169677734375
21029,1800,2368.781982421875
28117,1800,94.04155731201172
28071,1800,107.96048736572266
21137,1800,1844.543212890625
37061,1800,4495.91259765625
40153,1800,1449.1685791015625
46059,1800,119.00883483886719
46067,1800,165.31272888183594
48249,1800,701.053466796875
51135,1800,4425.974609375
55005,1800,398.17901611328125
51700,1800,3062.064453125
48309,1800,1801.550048828125
18111,1800,43.0851936340332
20047,1800,456.7569580078125
28123,1800,115.45708465576172
29061,1800,123.47862243652344
29059,1800,119.03189086914063
