"GEOID","decade","population","n_inventors","inv_per_100k","lon_county","lat_county"
"01061",1870,2959,0,0,-85.8357488109319,31.0940440516173
"01061",1880,4342,0,0,-85.8357488109319,31.0940440516173
"01061",1890,10690,0,0,-85.8357488109319,31.0940440516173
"01061",1900,19096,0,0,-85.8357488109319,31.0940440516173
"01061",1910,26230,0,0,-85.8357488109319,31.0940440516173
"01061",1920,29315,0,0,-85.8357488109319,31.0940440516173
"01061",1930,30104,0,0,-85.8357488109319,31.0940440516173
"01061",1940,29172,0,0,-85.8357488109319,31.0940440516173
"01061",1950,25899,0,0,-85.8357488109319,31.0940440516173
"01061",1960,22310,0,0,-85.8357488109319,31.0940440516173
"01061",1970,21924,0,0,-85.8357488109319,31.0940440516173
"01061",1980,24253,0,0,-85.8357488109319,31.0940440516173
"01061",1990,23647,0,0,-85.8357488109319,31.0940440516173
"01061",2000,25764,0,0,-85.8357488109319,31.0940440516173
"08125",1870,NA,0,NA,-102.425873975407,40.0030682047878
"08125",1880,NA,0,NA,-102.425873975407,40.0030682047878
"08125",1890,2596,0,0,-102.425873975407,40.0030682047878
"08125",1900,1729,0,0,-102.425873975407,40.0030682047878
"08125",1910,8499,0,0,-102.425873975407,40.0030682047878
"08125",1920,13897,0,0,-102.425873975407,40.0030682047878
"08125",1930,13613,0,0,-102.425873975407,40.0030682047878
"08125",1940,12102,0,0,-102.425873975407,40.0030682047878
"08125",1950,10827,0,0,-102.425873975407,40.0030682047878
"08125",1960,8912,0,0,-102.425873975407,40.0030682047878
"08125",1970,8544,0,0,-102.425873975407,40.0030682047878
"08125",1980,9682,0,0,-102.425873975407,40.0030682047878
"08125",1990,8954,0,0,-102.425873975407,40.0030682047878
"08125",2000,9841,0,0,-102.425873975407,40.0030682047878
"17177",1870,30608,3,9.80135912179822,-89.6623855048929,42.3513830831604
"17177",1880,31963,1,3.12861746394268,-89.6623855048929,42.3513830831604
"17177",1890,31338,0,0,-89.6623855048929,42.3513830831604
"17177",1900,34933,1,2.86262273494976,-89.6623855048929,42.3513830831604
"17177",1910,36821,1,2.71584150348986,-89.6623855048929,42.3513830831604
"17177",1920,37743,1,2.64949792014413,-89.6623855048929,42.3513830831604
"17177",1930,40064,0,0,-89.6623855048929,42.3513830831604
"17177",1940,40646,2,4.92053338581902,-89.6623855048929,42.3513830831604
"17177",1950,41595,0,0,-89.6623855048929,42.3513830831604
"17177",1960,46207,0,0,-89.6623855048929,42.3513830831604
"17177",1970,48861,0,0,-89.6623855048929,42.3513830831604
"17177",1980,49536,0,0,-89.6623855048929,42.3513830831604
"17177",1990,48052,0,0,-89.6623855048929,42.3513830831604
"17177",2000,48979,0,0,-89.6623855048929,42.3513830831604
"28153",1870,4206,0,0,-88.6957687494779,31.641324759893
"28153",1880,8741,0,0,-88.6957687494779,31.641324759893
"28153",1890,9817,0,0,-88.6957687494779,31.641324759893
"28153",1900,12539,0,0,-88.6957687494779,31.641324759893
"28153",1910,14709,0,0,-88.6957687494779,31.641324759893
"28153",1920,15467,0,0,-88.6957687494779,31.641324759893
"28153",1930,15295,0,0,-88.6957687494779,31.641324759893
"28153",1940,16928,0,0,-88.6957687494779,31.641324759893
"28153",1950,17010,0,0,-88.6957687494779,31.641324759893
"28153",1960,16258,0,0,-88.6957687494779,31.641324759893
"28153",1970,16650,0,0,-88.6957687494779,31.641324759893
"28153",1980,19135,0,0,-88.6957687494779,31.641324759893
"28153",1990,19517,0,0,-88.6957687494779,31.641324759893
"28153",2000,21216,0,0,-88.6957687494779,31.641324759893
"34041",1870,34336,0,0,-74.9957035336639,40.8594026391453
"34041",1880,36589,0,0,-74.9957035336639,40.8594026391453
"34041",1890,36553,1,2.73575356331902,-74.9957035336639,40.8594026391453
"34041",1900,37781,0,0,-74.9957035336639,40.8594026391453
"34041",1910,43187,0,0,-74.9957035336639,40.8594026391453
"34041",1920,45057,2,4.43882193665801,-74.9957035336639,40.8594026391453
"34041",1930,49319,0,0,-74.9957035336639,40.8594026391453
"34041",1940,50181,0,0,-74.9957035336639,40.8594026391453
"34041",1950,54374,1,1.83911428256152,-74.9957035336639,40.8594026391453
"34041",1960,63220,0,0,-74.9957035336639,40.8594026391453
"34041",1970,73879,0,0,-74.9957035336639,40.8594026391453
"34041",1980,84429,0,0,-74.9957035336639,40.8594026391453
"34041",1990,91607,0,0,-74.9957035336639,40.8594026391453
"34041",2000,102437,0,0,-74.9957035336639,40.8594026391453
"46051",1870,NA,0,NA,-96.7698051122708,45.1725536642807
