GEOID,decade,population,source
01061,1800,86.09818267822266,hyde
08125,1800,339.9251403808594,hyde
17177,1800,195.5035400390625,hyde
28153,1800,105.54912567138672,hyde
34041,1800,9497.0146484375,hyde
46051,1800,146.73793029785156,hyde
51013,1800,4078.5185546875,hyde
21007,1800,852.1259155273436,hyde
37091,1800,1932.5718994140625,hyde
13057,1800,2322.80322265625,hyde
13015,1800,1868.991455078125,hyde
17155,1800,58.20112609863281,hyde
19001,1800,207.7046356201172,hyde
39121,1800,240.72857666015625,hyde
39075,1800,386.0783996582031,hyde
27059,1800,27.018413543701172,hyde
18013,1800,35.351741790771484,hyde
29075,1800,90.86925506591795,hyde
31079,1800,467.0793151855469,hyde
46005,1800,213.38037109375,hyde
48093,1800,525.1212158203125,hyde
51640,1800,295.5277404785156,hyde
54063,1800,1356.4893798828125,hyde
48233,1800,360.1302490234375,hyde
27165,1800,30.090866088867188,hyde
46107,1800,72.69600677490234,hyde
28009,1800,54.09676742553711,hyde
21047,1800,3139.259521484375,hyde
31075,1800,38.70196914672851,hyde
09013,1800,17699.7265625,hyde
13295,1800,1573.2301025390625,hyde
20075,1800,249.0143585205078,hyde
26089,1800,21.421077728271484,hyde
28141,1800,93.79718017578124,hyde
40067,1800,1051.4427490234375,hyde
48487,1800,488.7942810058594,hyde
21003,1800,1419.04296875,hyde
05043,1800,138.96170043945313,hyde
05039,1800,82.81490325927734,hyde
18049,1800,45.42750930786133,hyde
20113,1800,1202.6793212890625,hyde
21197,1800,1015.8001098632813,hyde
21217,1800,1247.7813720703125,hyde
26073,1800,57.028079986572266,hyde
28155,1800,51.97519302368164,hyde
31143,1800,218.19488525390625,hyde
21073,1800,2409.701416015625,hyde
31035,1800,190.2280731201172,hyde
42027,1800,10628.947265625,hyde
47075,1800,736.33953857421875,hyde
47139,1800,733.6229858398436,hyde
51009,1800,9408.3662109375,hyde
55069,1800,353.9166259765625,hyde
48381,1800,1107.30810546875,hyde
19159,1800,169.1334686279297,hyde
27023,1800,41.45566177368164,hyde
20069,1800,512.89013671875,hyde
40021,1800,1671.9498291015625,hyde
18005,1800,67.47928619384766,hyde
09015,1800,17116.353515625,hyde
12061,1800,221.40037536621097,hyde
19005,1800,255.5597991943359,hyde
22065,1800,534.0216064453125,hyde
26055,1800,46.52785873413086,hyde
29153,1800,131.0511016845703,hyde
42071,1800,22121.9140625,hyde
48195,1800,246.8633270263672,hyde
51510,1800,1728.6318359375,hyde
56033,1800,206.15188598632813,hyde
08111,1800,33.877471923828125,hyde
13135,1800,5403.74072265625,hyde
18067,1800,55.00718688964844,hyde
19175,1800,171.45401000976565,hyde
39063,1800,391.5787353515625,hyde
26035,1800,39.858036041259766,hyde
29229,1800,136.73011779785156,hyde
21203,1800,1314.662353515625,hyde
29101,1800,259.33837890625,hyde
48173,1800,206.11068725585935,hyde
48129,1800,216.45068359375,hyde
48223,1800,668.93560791015625,hyde
54041,1800,904.8675537109376,hyde
51630,1800,525.3292236328125,hyde
53021,1800,15.809296607971191,hyde
08009,1800,155.98526000976565,hyde
47113,1800,1398.6102294921875,hyde
27149,1800,32.6945686340332,hyde
38015,1800,56.980133056640625,hyde
13229,1800,536.86553955078125,hyde
18183,1800,51.32146835327149,hyde
18115,1800,90.795928955078125,hyde
12037,1800,85.893341064453125,hyde
26071,1800,31.484689712524418,hyde
29011,1800,141.9794921875,hyde
31145,1800,256.7784118652344,hyde
40041,1800,1346.24755859375,hyde
47131,1800,1006.1642456054688,hyde
55071,1800,341.5446472167969,hyde
01027,1800,67.03984069824219,hyde
12115,1800,458.7896728515625,hyde
17159,1800,57.39485168457031,hyde
19181,1800,510.8741149902344,hyde
26039,1800,29.63846206665039,hyde
28115,1800,97.65766143798828,hyde
19197,1800,296.4774475097656,hyde
31101,1800,328.0065002441406,hyde
36099,1800,4903.88720703125,hyde
28003,1800,90.85700988769533,hyde
48467,1800,949.6119384765624,hyde
51093,1800,3772.808349609375,hyde
56019,1800,179.6379852294922,hyde
54005,1800,1569.8499755859375,hyde
19131,1800,342.7881774902344,hyde
28137,1800,82.1297836303711,hyde
38039,1800,15.41038417816162,hyde
31059,1800,182.64883422851565,hyde
