spec,treated_counties,control_counties,first_cohort,last_cohort,overall_att,overall_se,p_value
Any elite-school opening,51,3065,1880,1930,-6.128740153057012,5.078321154736292,0.22749232318233004
High-access first opening,4,3065,1880,1930,1.4663476122798431,7.363807560273553,0.8421618392287984
Low-access first opening,47,3065,1880,1930,-6.737460101972478,4.949773219880159,0.1734614220851114
