spec,outcome,lead_m40,lead_m30,lead_m20,se_m40,se_m30,se_m20
Any nearby elite-school exposure,Any STEM birth (pct points),-12.589380555896227,-13.9969205167264,-7.086030557465547,7.737270677831365,4.800610497097398,4.545256192150161
Any nearby elite-school exposure,STEM births per 100k,-2.649215713065206,-3.207130876616192,-3.222161744635494,2.73954630786786,3.470201557715732,3.5613028018649433
Any nearby elite-school exposure,STEM share (pct points),-2.9204502228783125,-8.921718589459452,-2.7217954493289787,6.768664021298062,4.2044795997528155,4.374209237022077
High-access first nearby exposure,Any STEM birth (pct points),-29.622063329928505,0.4510450758444343,-0.017137089769513128,33.032791767785476,0.5712432362965637,0.5933794085272635
High-access first nearby exposure,STEM births per 100k,-0.7406105519196339,-2.667194897888702,0.743205916362008,0.9094183404997895,2.383803115342709,0.7313672707546689
High-access first nearby exposure,STEM share (pct points),-10.161090112840565,15.60842064403064,8.061427798643312,12.456669970091935,12.577823157838656,7.900517524851625
Low-access first nearby exposure,Any STEM birth (pct points),-11.460101484614821,-14.835133496799681,-7.345678648057363,8.07292555720698,5.14581228126532,4.6838575473555375
Low-access first nearby exposure,STEM births per 100k,-2.7783570925737284,-3.2429609236415318,-3.36852648248543,2.9492064911384746,3.4856956268490364,3.6973854480061346
Low-access first nearby exposure,STEM share (pct points),-2.439306770931889,-10.332287165328502,-3.1119470637178446,6.979335329421207,4.174754577690865,4.355786471874558
