spec,event_time,att,se,conf_low,conf_high
High-access first opening,-40,-21.936109947043175,18.06976308713183,-57.352845597821556,13.48062570373521
High-access first opening,-30,19.664041068502947,20.944256849651996,-21.386702356814965,60.71478449382086
High-access first opening,-20,9.417606192127426,9.961207572386304,-10.106360649749728,28.94157303400458
High-access first opening,0,22.15451714437797,28.82953617169169,-34.35137375213774,78.66040804089369
High-access first opening,10,2.7328669138768285,7.091177591870898,-11.165841166190132,16.63157499394379
High-access first opening,20,0.3216062768092336,5.696239286065572,-10.843022723879287,11.486235277497755
High-access first opening,30,-11.599792748972868,7.572874551098116,-26.442626869125178,3.243041371179439
High-access first opening,40,4.0476491541293695,5.629284310104618,-6.985748093675681,15.081046401934419
Low-access first opening,-40,-14.98264944790681,13.289373621994205,-41.029821747015454,11.064522851201831
Low-access first opening,-30,-12.789533172826758,7.562551831824624,-27.612134763203024,2.033068417549506
Low-access first opening,-20,-0.39626336515467575,6.4547401204197214,-13.04755400117733,12.255027270867979
Low-access first opening,0,-6.503958107787667,6.816053700753198,-19.863423361263933,6.855507145688601
Low-access first opening,10,-2.639227983487395,7.628035170247014,-17.590176917171544,12.311720950196753
Low-access first opening,20,-3.565988963882479,7.073662822250635,-17.430368095493723,10.298390167728765
Low-access first opening,30,2.7639025531164476,6.991081300209218,-10.938616795293619,16.466421901526513
Low-access first opening,40,4.029600605769254,5.570865483400563,-6.8892957416958485,14.948496953234356
