spec,outcome,treated_counties,control_counties,first_cohort,last_cohort,overall_att,overall_se,p_value
Any nearby elite-school exposure,STEM share (pct points),119,2937,1880,1930,-4.9321738996149165,3.429840067309267,0.15042876947379846
Any nearby elite-school exposure,STEM births per 100k,119,2937,1880,1930,-0.25467212475917655,0.36614698795292877,0.4867131051900486
Any nearby elite-school exposure,Any STEM birth (pct points),119,2937,1880,1930,-5.249250178565459,3.8080116523837804,0.16805657471217672
High-access first nearby exposure,STEM share (pct points),5,2937,1880,1930,0.7711224228904731,2.151161115111475,0.7199931110994766
High-access first nearby exposure,STEM births per 100k,5,2937,1880,1930,2.0942218716434433,2.6978918610889444,0.4376050400143281
High-access first nearby exposure,Any STEM birth (pct points),5,2937,1880,1930,-4.737188587954937,9.560476538334239,0.6202492546555232
Low-access first nearby exposure,STEM share (pct points),114,2937,1880,1930,-5.157984578910687,3.441455276882208,0.1339306967059457
Low-access first nearby exposure,STEM births per 100k,114,2937,1880,1930,-0.3469486202494187,0.3423545078776116,0.3108599880024663
Low-access first nearby exposure,Any STEM birth (pct points),114,2937,1880,1930,-5.267552878726219,3.8546425367055432,0.171767121030437
