spec,outcome,sample_counties,counties_dropped_min_pre,sample_counties_used,treated_counties_used,control_counties_used,first_cohort,last_cohort
High access vs low-access counties only,STEM births (count),73,4,69,9,60,1850,1900
High access vs low-access counties only,Any STEM birth (pp),73,4,69,9,60,1850,1900
High access vs low-access counties only,"STEM births per 1,000 population",73,4,69,9,60,1850,1900
High access vs low-access counties only,"STEM births per 1,000 est. births",73,4,69,9,60,1850,1900
High access vs low-access counties only,County population,73,4,69,9,60,1850,1900
