unit_type,unit_id,event_year,g_std,g_shift,first_fair_name,first_fair_city,first_fair_country,n_fairs_1800_1900,fair_years_1800_1900,fair_names_1800_1900
europe_city,GEONAMES_3165524,1829,1820,1830,"Prima Triennale Pubblica Esposizione dell’anno 1829. In Turin, a second 'triennale' followed in 1832 before other national agricultural, industrial, commercial, and applied arts expositions there in 1838, 1844, 1850 and 1858.",Turin,Piedmont-Sardinia,8,1829,"Prima Triennale Pubblica Esposizione dell’anno 1829. In Turin, a second 'triennale' followed in 1832 before other national agricultural, industrial, commercial, and applied arts expositions there in 1838, 1844, 1850 and 1858. | Seconda Triennale Pubblica Esposizione dell’anno 1832. | Pubblica esposizione dell'anno 1838. | Quarta Esposizione d'Industria et di Belle Arti. | Quinta Esposizione di Industria e di Belle Arti | Sesta Esposizione Nazionale di Prodotti d'Industria | Esposizione Generale Italiana"
europe_city,GEONAMES_3169070,1874,1870,1870,Esposizione internazionale (1874) (never held),Rome,Italy,2,1874,Esposizione internazionale (1874) (never held) | Esposizione mondiale (1887)
europe_city,GEONAMES_3172394,1853,1850,1850,Solenne Pubblica Esposizione di Arti e Manifatture,Naples,Two Sicilies,2,1853,Solenne Pubblica Esposizione di Arti e Manifatture | International Maritime Exposition
europe_city,GEONAMES_3176219,1846,1840,1840,Esposizione dei Prodotti e delle Manufatture nazionali,Genoa,Piedmont-Sardinia,3,1846,Esposizione dei Prodotti e delle Manufatture nazionali | Esposizione Industriale | Esposizione Italo-Americana (1892)
europe_city,GEONAMES_3178229,1899,1890,1900,Como Electrical Exhibition,Como,Italy,1,1899,Como Electrical Exhibition
europe_city,GEONAMES_520555,1875,1870,1870,Nizhny Novgorod Fair (1875),Nizhny Novgorod,Russia,2,1875,Nizhny Novgorod Fair (1875) | Pan Russian Exhibition
europe_city,GEONAMES_524901,1891,1890,1890,Exposition française de Moscow,Moscow,Russia,1,1891,Exposition française de Moscow
europe_city,GEONAMES_658225,1876,1870,1870,Finnish General Exhibition,Helsinki,Finland,1,1876,Finnish General Exhibition
us_county,US_COUNTY_11001,1892,1890,1890,Exposition of the Three Americas (1892) (never held),Washington,United States,1,1892,Exposition of the Three Americas (1892) (never held)
us_county,US_COUNTY_13121,1881,1880,1880,International Cotton Exposition,Atlanta,United States,3,1881,International Cotton Exposition | Piedmont Exposition | Cotton States and International Exposition (1895) (Atlanta Exposition)
us_county,US_COUNTY_17031,1893,1890,1890,World's Columbian Exposition – Palace of Fine Arts and the World's Congress Auxiliary Building,Chicago,United States,2,1893,World's Columbian Exposition – Palace of Fine Arts and the World's Congress Auxiliary Building | Irish Fair (1897)
us_county,US_COUNTY_21111,1883,1880,1880,Southern Exposition,Louisville,United States,1,1883,Southern Exposition
us_county,US_COUNTY_22071,1884,1880,1880,World Cotton Centennial,New Orleans,United States,1,1884,World Cotton Centennial
us_county,US_COUNTY_25025,1883,1880,1880,"The American Exhibition of the Products, Arts and Manufactures of Foreign Nations",Boston,United States,1,1883,"The American Exhibition of the Products, Arts and Manufactures of Foreign Nations"
us_county,US_COUNTY_31055,1898,1890,1900,Trans-Mississippi Exposition,Omaha,United States,2,1898,Trans-Mississippi Exposition | Greater America Exposition
us_county,US_COUNTY_36029,1889,1880,1890,International Industrial Fair (1889),Buffalo,United States,1,1889,International Industrial Fair (1889)
us_county,US_COUNTY_36047,1829,1820,1830,American Institute Fair,New York City,United States,4,1829,American Institute Fair | Exhibition of the Industry of All Nations | World's Fair (1883) (never held) | World's Fair Prize Winners' Exposition (1893)
us_county,US_COUNTY_39061,1888,1880,1890,Cincinnati Centennial Exposition (1888),Cincinnati,Ohio,1,1888,Cincinnati Centennial Exposition (1888)
us_county,US_COUNTY_42101,1858,1850,1860,Philadelphia Technological Exhibition,Philadelphia,United States,4,1858,Philadelphia Technological Exhibition | Franklin Institute Exhibition | Centennial Exposition | National Export Exposition
us_county,US_COUNTY_47037,1897,1890,1900,Tennessee Centennial and International Exposition,Nashville,United States,1,1897,Tennessee Centennial and International Exposition
